abum,father,n,s;nom;m
abim,father,n,s;gen;m
abam,father,n,s;gen;m
abū,fathers,n,pl;nom;m
abī,fathers,n,pl;gen;acc;m
ālum,town;city,n,s;nom;m
ālim,town;city,n,s;gen;m
ālam,town;city,n,s;acc;m
ālū,towns;cities,n,pl;nom;m
ālī,towns;cities,n,pl;gen;acc;m
amtum,female slave;womanservant,n,s;nom;f
amtim,female slave;womanservant,n,s;gen;f
amtam,female slave;womanservant,n,s;acc;f
amātum,female slaves;womanservants,n,pl;nom;f
amātim,female slaves;womanservants,n,pl;gen;acc;f
bēlum,lord;master;owner,n,s;nom;m
bēlim,lord;master;owner,n,s;gen;m
bēlam,lord;master;owner,n,s;acc;m
bēlū,lords;masters;owners,n,pl;nom;m
bēlī,lords;masters;owners,n,pl;gen;acc;m
ẖurāṣum,gold,n,s;nom;m
ẖurāṣim,gold,n,s;gen;m
ẖurāṣam,gold,n,s;acc;m
iltum,goddess,n,s;nom;f
iltim,goddess,n,s;gen;f
iltam,goddess,n,s;acc;f
ilātum,goddesses,n,pl;nom;f
ilātim,goddesses,n,pl;gen;acc;f
ilum,god,n,s;nom;m
ilim,god,n,s;gen;m
ilam,god,n,s;acc;m
ilū,god,n,pl;nom;m
ilī,god,n,pl;gen;acc;m
kaspum,silver,n,s;nom;m
kaspim,silver,n,s;gen;m
kaspam,silver,n,s;acc;m
mārtum,daughter,n,s;nom;f
mārtim,daughter,n,s;gen;f
mārtam,daughter,n,s;acc;f
mārātum,daughters,n,pl;nom;f
mārātim,daughters,n,pl;gen;acc;f
mārum,son,n,s;nom;m
mārim,son,n,s;gen;m
māram,son,n,s;acc;m
mārū,sons,n,pl;nom;m
mārī,sons,n,pl;gen;acc;m
qaqqadum,head;top;person;principal amount,n,s;nom;m
qaqqadim,head;top;person;principal amount,n,s;gen;m
qaqqadam,head;top;person;principal amount,n,s;acc;m
qaqqadū,heads;principal amounts,n,pl;nom;m
qaqqadī,heads;principal amounts,n,pl;gen;acc;m
ṣābum,gang;army;troops;worker;soldier,n,s;nom;m
ṣābim,gang;army;troops;worker;soldier,n,s;gen;m
ṣābam,gang;army;troops;worker;soldier,n,s;acc;m
ṣābū,gangs;armies;troops;workers;soldiers,n,pl;nom;m
ṣābī,gangs;armies;troops;workers;soldiers,n,pl;gen;acc;m
šarratum,queen,n,s;nom;f
šarratim,queen,n,s;gen;f
šarratam,queen,n,s;acc;f
šarrātum,queens,n,pl;nom;f
šarrātim,queens,n,pl;gen;acc;f
šarrum,king,n,s;nom;m
šarrim,king,n,s;gen;m
šarram,king,n,s;acc;m
šarrū,kings,n,pl;nom;m
šarrī,kings,n,pl;gen;acc;m
wardum,male slave;manservant,n,s;nom;m
wardim,male slave;manservant,n,s;gen;m
wardam,male slave;manservant,n,s;acc;m
wardū,male slaves;manservants,n,pl;nom;m
wardī,male slaves;manservants,n,pl;gen;acc;m
u,and,conj
aššatum,wife,n,s;nom;f
aššatim,wife,n,s;gen;f
aššatam,wife,n,s;acc;f
aššātum,wives,n,pl;nom;f
aššātim,wives,n,pl;gen;acc;f
bītum,house;estate;household,n,s;nom;m
bītim,house;estate;household,n,s;gen;m
bītam,house;estate;household,n,s;acc;m
bītātum,houses;estates;households,n,pl;nom;f
bītātim,houses;estates;households,n,pl;gen;acc;f
emūqum,strength;power;force;ability;armed forces;value,n,s;nom;m
emūqim,strength;power;force;ability;armed forces;value,n,s;gen;m
emūqam,strength;power;force;ability;armed forces;value,n,s;acc;m
emūqān,strength;power;force;ability;armed forces;value,n,dual;nom
emūqīn,strength;power;force;ability;armed forces;value,n,dual;gen;acc
emūqū,strength;power;force;ability;armed forces;value,n,pl;nom;m
emūqī,strength;power;force;ability;armed forces;value,n,pl;gen;acc;m
emūqātum,strength;power;force;ability;armed forces;value,n,pl;nom;f
emūqātim,strength;power;force;ability;armed forces;value,n,pl;gen;acc;f
īnum,eye;spring,n,s;nom;f
īnim,eye;spring,n,s;gen;f
īnam,eye;spring,n,s;acc;f
īnān,eyes,n,dual;nom
īnīn,eyes,n,dual;gen;acc
īnātum,eyes;springs,n,pl;nom;f
īnātim,eyes;springs,n,pl;gen;acc;f
išdum,base;foundation;bottom;administration,n,s;nom;m
išdim,base;foundation;bottom;administration,n,s;gen;m
išdam,base;foundation;bottom;administration,n,s;acc;m
išdān,base;foundation;bottom;administration;buttocks,n,dual;nom
išdīn,base;foundation;bottom;administration;buttocks,n,dual;gen;acc
išdātum,bases;foundations;bottoms;administrations,n,pl;nom;f
